book_id,category,category_id
5685,Education,43
5686,Performing Arts,139
5687,Crafts & Hobbies,82
5688,Biography & Autobiography,2
5689,Technology & Engineering,109
5690,Computers,35
5691,Foreign Language Study,102
5692,Literary Criticism,115
5693,Juvenile Fiction,9
5694,Fiction,5
5695,Games & Activities,83
5696,Fiction,5
5697,Religion,25
5698,Gardening,89
5699,Law,138
5700,"World War, 1939-1945",302
5701,Crafts & Hobbies,82
5702,Religion,25
5703,Fiction,5
5704,Juvenile Nonfiction,16
5705,Juvenile Fiction,9
5706,Design,78
5707,History,1
5708,Literary Criticism,115
5709,Biography & Autobiography,2
5710,Computers,35
5711,Religion,25
5712,Juvenile Nonfiction,16
5713,Art,53
5714,Literary Criticism,115
5715,Juvenile Nonfiction,16
5716,Science,4
5717,Fiction,5
5718,Poetry,18
5719,Biography & Autobiography,2
5720,Computers,35
5721,Architecture,114
5722,Fiction,5
5723,Reference,56
5724,Fiction,5
5725,Crafts & Hobbies,82
5726,Crafts & Hobbies,82
5727,Humor,64
5728,Photography,117
5729,Families,127
5730,Art,53
5731,Crafts & Hobbies,82
5732,Crafts & Hobbies,82
5733,Religion,25
5734,Biography & Autobiography,2
5735,Juvenile Fiction,9
5736,Education,43
5737,Literary Criticism,115
5738,Music,57
5739,Fiction,5
5740,Photography,117
5741,Fiction,5
5742,Business & Economics,21
5743,Self-Help,107
5744,Technology & Engineering,109
5745,Nature,66
5746,Juvenile Nonfiction,16
5747,Religion,25
5748,Self-actualization (Psychology),371
5749,Fiction,5
5750,Language Arts & Disciplines,61
5751,Business & Economics,21
5752,Family & Relationships,65
5753,Computers,35
5754,Religion,25
5755,Gardening,89
5756,Political Science,7
5757,Performing Arts,139
5758,Picture books for children,372
5759,Family & Relationships,65
5760,Fiction,5
5761,Transportation,74
5762,History,1
5763,Education,43
5764,Language Arts & Disciplines,61
5765,Performing Arts,139
5766,Psychology,26
5767,Health & Fitness,75
5768,Juvenile Nonfiction,16
5769,Art,53
5770,Games & Activities,83
5771,Juvenile Nonfiction,16
5772,Pets,140
5773,Medical,81
5774,Health & Fitness,75
5775,Business & Economics,21
5776,Sports & Recreation,71
5777,Pets,140
5778,Humor,64
5779,Children's stories,37
5780,Health & Fitness,75
5781,Fiction,5
5782,Fiction,5
5783,Cooking,44
5784,Juvenile Fiction,9
5785,Fiction,5
5786,Medical,81
5787,History,1
5788,Biography & Autobiography,2
5789,Social Science,94
5790,Philosophy,67
5791,Crafts & Hobbies,82
5792,Juvenile Fiction,9
5793,Design,78
5794,Biography & Autobiography,2
5795,Religion,25
5796,History,1
5797,Biography & Autobiography,2
5798,Sports & Recreation,71
5799,Social Science,94
5800,Computers,35
5801,Nature,66
5802,Juvenile Nonfiction,16
5803,Self-actualization (Psychology),371
5804,Social Science,94
5805,Crafts & Hobbies,82
5806,Crafts & Hobbies,82
5807,Fiction,5
5808,Medical,81
5809,Science,4
5810,Nature,66
5811,Family & Relationships,65
5812,Business & Economics,21
5813,Computer networks,373
5814,Transportation,74
5815,Fiction,5
5816,Literary Criticism,115
5817,Biography & Autobiography,2
5818,Religion,25
5819,Antiques & Collectibles,113
5820,Fiction,5
5821,Photography,117
5822,History,1
5823,Computers,35
5824,Religion,25
5825,Self-Help,107
5826,Reference,56
5827,Biography & Autobiography,2
5828,Fiction,5
5829,History,1
5830,History,1
5831,Juvenile Nonfiction,16
5832,Fiction,5
5833,Language Arts & Disciplines,61
5834,Transportation,74
