author,author_id
Fred Steingold,1179
Scott O'Dell,1180
Howard Rosenthal,1181
Jim Sheeler,1182
Katherine Kurtz,1183
Joseph Warren Kniskern,1184
J. W. Rinzler,1185
Laurent Bouzereau,1186
Paul Fleischman,1187
Bagram Ibatoulline,1188
Antonio Sk?rmeta,1189
David Carder,1190
Duncan Jaenicke,1191
Sandra Boynton,1192
Alan Gratz,1193
Lori Lite,1194
Michael E. Porter,1195
Ann Eliza Young,1196
Philip Yancey,1197
Eric Sloane,1198
Charles Haddon Spurgeon,1199
Johan van Lengen,1200
Charles Bukowski,1201
Sue Corbett,1202
Alain de Botton,1203
Scott Farhart,1204
Elizabeth King,1205
Matthew Stein,1206
George Rodrigue,1207
Robert Conquest,1208
Angela Knight,1209
Diane Whiteside,1210
Jack C. McCormac,1211
Frantz Fanon,1212
Robert A. Emmons,1213
Hiromitsu Kuroi,1214
Brett Bull,1215
Andrew S. Tanenbaum,1216
Kathy J. Phillips,1217
Eyone Williams,1218
David Eddings,1219
Xavier Herbert,1220
Cristina García,1221
Joseph Bruchac,1222
Robert Baer,1223
"Robert A. Bradley, M.D.",1224
Brad Schoenfeld,1225
